,Name,Bio
@T_Cottingham,Tucker Cottingham,Co-Founder & CEO of @golawyaw (YC W18): Intelligent Document Automation for legal teams.
@OEA_blogger,Dan Eidell,VC musings from @american_eidell | @OCAVentures Investor | @chicagobooth MBA | @VentureUniv alum | RTs not endorsements. Views and opinions my own.
@WarandMayhem,Take that L on the way out,"Love the Denver Broncos, the Denver Nuggets and VOTING. #WhenWeAllVote Guilty pleasures - MTV's The Challenge & microwaved pizza rolls"
@malipalema,Pale,#blacktechtwitter Data Science and Machine Learning enthusiast; ig: @_pale
@Omair__Ahmed,Omair Ahmed,"VC at @healthecho . Former @7wireventures , @kelloggschool , @merck . All takes are hot and my own. Retweets =/= endorsements."
@jjtejkl,Josh Tejkl,Commercial Banker | Business Advisory | @MiamiUniversity Alumnus | @BGSU Alumnus
@tarastrahl,Tara Strahl,Words and wonders
@_fafafatima,Fatima,"Identity & Verifications @stripe by day. Diversity, Women@Stripe global lead & MSc Equality Studies in my spare time. Enjoy bikes, clouds, sounds and rhubarb."
@eleakin775,Eric L. Eakin,"Data Scientist, R User & Programmer, SQL, Data Visualization & BI, #rstats #sql #tamu"
@Bilbortt,David Vroom-Duke,Software engineer. Mostly harmless. Retweets are random.
@HiberniaRexMax,Jude Doherty,"Twittering irrelevance, retweeting irreverence."
@JohnJCoyne,John Coyne,Pedestrian
@andrewpwalters,Andrew Walters,
@juancricco,Juan Cricco,"Keanu, I am your father."
@EngageRD,Engage R+D,"We help nonprofits, foundations, and public agencies measure their impact, engage their stakeholders, and foster learning and innovation."
@TenguPaaS,Tengu,Your DataOps Interface! From Your First Data Training Wheels To Data Professional At Full Speed. Tengu connects the right people with the right data.
@Szen_04,Yen Szen,如墮雲霧
@vi_jays,Vijay Srinivas,Digital Marketer | Avid CSK Fan | Hardcore DC | Tech Geek | Moviebuff
@gregmnoone,Greg Noone,Journalist. Read me at: @Hakaimagazine | @TheAtlantic | @guardian | @verge | | @VanityFair | @NewStatesman | @HowWeGetToNext | @nknewsorg | Others.
@noalgonick,Nick S,OFFLINE
@rhyssouthan,Rhys Southan,"Writer, and maybe a philosophy PhD student starting 2019. Still working out my Twitter personality, but pretty sure I'll always be better at Instagram"
@disputed_proof,lexicon of arcane commands,Right on top of the bell curve
@ForceSpliff,SpaceForce Spliff,"Deep State environmental attorney (ret.) 'doing all the nothing' now. Biota, water & wilderness are my faves."
@raffrica,Daniel Raff,Family Medicine Resident. Data Scientist. Co-Founder @HatchingHealth
@gujaratipapi,Jay-Z Krishna,#AI #Film #Art #Math #Music #Data #MLB: @RedSox #NBA : @Lakers #NFL: @Patriots @Arsenal he/him
@accretionist,"Ben Royce
Coordicide is coming",Computer #programmer Implementing #cryptocurrency #IOTA for #dataprivacy #YangGang #AndrewYang2020 #EndorseAndrewYang https://linkedin.com/in/broyce
@VicGarridoF,Victor Garrido,CEO & Co-founder @covelaseguros @itam_mx / @chicagobooth / @Ycombinator
@Filmabilityblog,Film-Ability,Writing about disability in cinema. #RottenTomatoesApproved critic at http://battleroyalewithcheese.com. he/him
@Eggernomics,Brian Egger,"#BloombergIntelligence BI GAME @TheTerminal | Author, SOCIAL MEDIA/INVESTING http://amzn.to/1q4c1nJ. @ChicagoBooth NY Alum Board. Opinion own/RT≠endorse."
@szarka,I'm a Pilgrim,Geek. Economist. DJ. Book Hoarder. Lover. Secondhand dealer in ideas. @UConn Econ PhD for hire. @LockHavenUniv Visitor. Opinions my own. Faves = bookmarks.
@DustinSiggins,Dustin Siggins,I am the CEO of publicity firm Proven Media Solutions and a business columnist. We put you in the press!
@MrArmandVidal,Armand Vidal,"Don't hate your own country, celebrate your history. Don't go idpol, it is the devil."
@AlexSundich,Alex Sundich,"Investment banker at @BridgeStCapital . Raising equity capital for ASX listed companies in mining, energy & tech. Seeking growth. Proverbs 24:3-4."
@azmichael1976,Michael McCarthy,"Boston native, but now reside in AZ for the weather. I am not a bot, numbers are the year I got Sober. Trump resister since the 80's"
@dheerja,dheerja,"Chief Product Officer @theSkimm , prev @ESPN , forever engineer and API nerd, tragic Jets and US Soccer fan, dancer, traveler, often backpacker. Tweets are mine."
@GWKruse,George Kruse - Pursuit CRE,#attainable #multifamily solutions in #Manatee and #Sarasota Counties. #Bridgelending on Florida #CRE. Humble member of Duke Long’s 100 #UF / #CBS alum
@teodeez,Todd Barnes,
@AndrewCutler13,Andrew Cutler,"An account for friends, puns, and ideas (AI, genetics, personality, politics/religion)"
@AkivaThalheim,Akiva Thalheim,"studying HCI @nyugallatin , writing @nyunews . previously @officebybranch @learnwithbolt @exeq"
@BeyondPump,Beyond The Pump,We are engaging lawmakers to post climate change #WarmingLabels on gas pumps.
@SeyZuzu,Zuzu,"Quality over quantity, always. Humanity, environment, fairness... Student @OUBSchool #success #fearless #positive #Economics #Marketing #Research #Data"
@chickfilapapi,Chickfilapapi,Harvard Alum. Data Scientist. Space Cadet.
@jimmy99er,Brandon,Husband. Dad. Day Trader
@UglyResearch,Tracy Allison Altman,"Curating ancient artifacts about artificial intelligence @MuseumofAI | What's your favorite #AI milestone? // Love baseball, analytics, Oakland A's"
@MuseumofAI,Museum of AI,"See, touch, and work with real-world artificial intelligence. View ancient AI artifacts, or go full-on immersive in our experience rooms. http://museumof.ai"
@akshaytarfe,Akshay Tarfe,"Media Professional, Currently PR Analyst @dasra , Previously @QualityCouncil , @makeinindia , @befoxy . Follow for updates on social sector. Opinions are personal"
@DavidnLang,DavidLang,"Grad Student at Stanford. Interested in education,economics, psychometrics, natural language, and data science. http://davidnathanlang.github.io"
@EricDavis317397,Eric Davis,Stock Trader -- anti-socialism -- independent thinker --Finding satisfaction in wanting less and doing more-- ！
@hamishbarney,Hamish Barney,
@jiraji_kelvin,Jiraji Kelvin Tersoo,Entrepreneur and farmer. Founder-Agritechub Nigeria
@KTG_CRE,kristin geenty,"Commercial Real Estate Broker: Entrepreneurs; start-ups, Investors & family business owners. Believing in #Connecticut like Linus & Great Pumpkin @CRE"
@inesferhumi,Inés,stem & politics are the two halves of improving society (it's pronounced ee-ness) //
@jensflanding,Jens P. Flanding,Change Leader; Political Scientist; Author: The Technology Takers - Leading Change in the Digital Era @technologytaker
@Erin_Conn17,Erin Connolly,@girlsecurity_ Associate Program Director | @KeoughGlobalND Master's Candidate | Former Research Analyst at @nukes_of_hazard | Dog enthusiast | Views my own.
@nicstapig,Nico Ericksen-Deriso,"Public Relations at @TheTASCGroup . Transit, circular economy, sports medicine and more | Always rooting for the @Browns | nico@thetascgroup.com"
@bendavies_,Ben Davies,"Philosophy Research Fellow, Oxford Uehiro Centre, Responsibility and Healthcare project. Healthcare justice; well-being and prudence; animal ethics; death."
@liuchainz,george liu,find high-impact jobs tackling problems you care about at http://withdolphin.com
@DanaGerber6,Dana Gerber,"Baby food enthusiast. Bylines in Cosmo, Mic, BoMag, The Berkeley Beacon, and your heart. She/her/hers, Emerson '22"
@SteveA_NotSmith,StewPhen,"Honesty is a gift we exchange. Let’s try not to treat it like it’s a burden. “Do you ever get that feeling that like, to know you more is to love you less?”"
@tjrwriting,Tim Rooney,"@kappa_school_ed founder, weekly updates at http://tjrwriting.substack.com"
@nikitakokal,Nikita,"The future is borderless, liberated, and full of biryani. Sales @adasupport Mineral Engineer, @uoftengineering . She/Her"
@TomHayeTweets,TomHaye,Life. Tech. Fitness. #Vegan #VeganBodybuilding #BlackVegan
@justinenlawson,Justine N Lawson,"Silence is complicity. I loathe injustice, racism, unfairness, arrogance and cruelty. Can be snarky. Major dog fan. Citizen of the world."
@billmurphy78712,Bill Murphy,"Bill Murphy is an avid model railroader, offering advice for model train enthusiasts on the Model Railroader website."
@abrol_shiv,Shiv,"Investing in tech, internet, payments | NYC | Nothing here is investment advice"
@Madgeniusblink,Cristian Romero,"Self-taught Developer, Background: Business, Marketing, and Psychology. 250 book read an counting! Have a problem and need a solution? Get In touch!"
@imzdesign,Mouataz Imzil,Web Designer and developer. UX-UI design.
@amyandthesky,Amy Huang,University Innovation Specialist @GoodFoodInst | @Harvard | Global health enthusiast & fascinated by other minds. Views are my own.
@GingerbyJustin,Ginger,A weekly newsletter dedicated to moments of inspiration. Subscribe here: https://bit.ly/2C3xIi7
@BShane555,Shane,"Investing, healthcare +; NO INVESTMENT TRAINING. Background: oil & gas vessel/ pressure piping design, projects & informatics/dataM. Renewable Future"
@maxkwallace,Max Wallace,"Radical candor, s, intellectualism. Sources cited Tweet ≠ endorsement. Led engineering @mentorcollectiv"
@ghiacentric,Ghia Moje,Market Analyst. Self-confessed data-geek. Mother of two.
@zdepablo,César de Pablo,Data Scientist @ BBVA Data & Analytics. Crunching numbers and letters
@nicktoumpelis,Nick Toumpelis,"Product & Data Protection @kachinghq , ex- @spotify , Bugsense (acq. Splunk)."
@curvenomics,Curvenomics,not investment advice. not FDIC Iinsured
@mansee_writes,Mansee Khurana,intern @PsychToday | editor @nyunews | learning @nyu | @jeopardy hopeful
@demetriaz,Demetria Anne Zwierzynski,"Wanderer of life, curious by nature, gypsy at heart and secretly a mermaid. Adore culture, technology, future studies and most anything improving the world."
@nicoglennon,Nico Glennon,"js wrangler. X- @ibm , @bluewolf , @devbootcamp ."
@robsica,Rob,"""Knowledge would have little allure if we did not have to overcome so much shame on the way to acquiring it."" -Nietzsche"
@OttawaPete,"Pete Patterson, Spatial Cadet, 𝑥R Dev","VR/AR Developer and Educator, Spatial Computing and Robotics, Veteran Metaverse Inhabitant, Smartass & Dumbass"
@KarlMaeser,Karl Unchained,For my button down account see @mattyglesias
@AngertT,Tyler Angert,"Mostly drawing boxes and banging my head against my laptop. design @replit , previously @medialab @hgse @emoryuniversity"
@sulemanali,sulemanali,"Entrepreneur, investor, startup junkie, optimist, feminist, immigrant. Choose winning over being right. Do more, say less. Grateful for my charmed life."
@ianthiel,Ian R. Thiel,"Human. Co-Founder @securitysublime . Formerly @AltoPharmacy , @Optimizely , @SpaceAngels . I write a newsletter: http://tinyletter.com/ianthiel"
@sahruh_,sarah,uiuc ‘19
@ammori,Marvin Ammori,Law/policy @protocollabs @minefilecoin . Board @blockchainassn . Net neutrality leader. Consultant @HBO ’s Silicon Valley
@EAllen0417,Evan Allen,Board certified in family practice and obesity medicine -- focus on lifestyle modification to prevent and reverse diseases.
@konradpitala,Konrad Pitala,Curious mind posting about #Entrepreneurship #Growth #Creativity #Art #Design #Tech // Brand Manager @Unit4Global // #photography artist // own views
@astralfiasco,Ginny,"Professional cereal connoisseur, instructional designer on the side. She/her."
@Tradescendant,"Keith Fredrickson, CFP(r)","Business, Finance, Fitness, Wellness, Humor, Music, Science, Jazz, Trading, Precious Metals, to make ya’ll feel that!!"
@joeloskarr,Joel-Oskar Raisanen,VC at @gpbullhound . Previously @citi .
@brazen_cabeza,B. capitis tenebris,stim object / .py novitiate / insight cultivator / oracle / rabbit hole surveyor talk theory to me systems whisperer semionaut
@jimmyasoni,Jimmy Soni,Co-author of bio of Claude Shannon (http://amzn.to/2pasLMz)
@Sohanstag,Balthasar Sohanstag,"in medias res, Deo gracias"
@WaqarHa38458853,Waqar Haider Awan,Politics. Economics. Philosophy. Science/tech. Football.
@BzhClair,Emmanuel C‽aiя,"Energy/weather. I cycle, hike and read. Likes history. French/Brit in London"
@regrezan,Ahmad Izzan,one day at a time.
@sheetaverma,Sheeta Verma,Founder of http://shenna.co • x • She / Her • All opinions are mine • reminder: not all disabilities are visible
@BlueRepublik,Chief Georgist Shill,"Economics major, Evertonian, Georgist YIMBY, (English/Deutsch) #UBI #LVT"
@ellie_d_h,Ellie H,Law student. Researcher. Cares about things.
@_bjrnt,Björn Tegelund,Software Engineer living and working in South Korea
@secretmoderator,wizden,toxic positivity
@erin_nerung,eris,"full time tropical nietzschean, hobbyist contrarian, life enjoyer, everyone's favorite outgroup"
@mariobaud,MARIO,Lawyer | Never stop improving | @Arsenal
@cactus4earth,Cactus Tacos Kick Ass,
@kevarifin,Kevin Arifin,Engineer at Citadel Writer at Life in Bytes EECS at UC Berkeley
@mdbergman36,Matt Bergman,"VP & Sr. Counsel @MarinoPR . #BusinessConsultant #IntegratedMarketing. #Attorney. #Investor #Strategist J.D.,M.S., finance, licensed RE broker."
@nickchua5,Nick Chua,", UChicago ‘18, private equity. Interested in all things tech, esports, and venture"
@COValueInv,Value Investor,"Managing money for my own account. Consumer of FinTwit & bourbon. You only live once; allocate your time, energy, and capital accordingly. Centennial state."
@SibaharaT2,sibaharaT2,blog → Twitter ( Link from blog to Twitter )
@QuinnRobertson,Quinn Robertson,"building music & tech ecosystems @nycbigapps @secondmuse @curtaincallus , @nyuniversity alum (she/her)"
@infinitelotus3,Amber,"Momma, Chef, Artist, Nerd, Crisis Counselor, Learner. I’m here for yang #yanggang"
@MaheshJagadish,Mahesh,Life long learner in pursuit of freedom / investor in public and private markets. Go Heels!
@captainflotsam,Ben Szymanski,Quality content starts here. Only @captainflotsam can do this.
@Spaceweft,Denatonium benzoate,#TheBloggess lurker. Perpetually disappointed egalitarianist.
@WabiSabiFutures,Wabi Sabi Futures,Strategic Foresight & Facilitation | Nothing lasts | Nothing is finished | Nothing is perfect
@schlagetown,Brendan Schlagel,Collecting the world's best books at http://antilibrari.es Obsessed with indie creator economics http://brendanschlagel.com/canon/ Oulipean rapper @jinjinxsun
@MichaelKGoff,Michael Goff,Researcher into energy and urban systems.
@oneteag,Oneteag,Anonymous nobody.
@jberkley17,(((Fact Slapped))),Extreme centrist. Glutton for data. Guided by Constitution. 0 interest in platitudes or sycophants. Amateur home automater. love US Respect. tweets are my own
@maythefroth,The Froth,"Gradually, then Suddenly. Finance News: http://confirmationbias.io Investment Podcasts: http://minutealpha.com"
@learningpathsio,Learning Paths,"Highlight, add tags & notes across the web. Declutter ur mind. Connect the dots. Use - http://bit.ly/use-highlights --- Read - http://learningpaths.substack.com"
@vantage_eval,Vantage Evaluation,Learn what works and what could work better for our communities--experience the joy of evaluation!
@NXTSTOR,NXTSTOR,"The official twitter of NXTSTOR, the latest innovation in peer-to-peer storage. We are not your everyday storage company."
@romanyam,Dr. Roman Yampolskiy,Professor of Computer Science. AI Safety & Cybersecurity Researcher. Creator of 3 Human-Level Intelligences. My Opinions are Now Yours! I do NOT #followback
@ChrisOdinet,Chris Odinet,"Law professor @UofOklahomaLaw | Interested in law & finance, property, commercial/consumer law, & fintech | Author of Foreclosed: https://tinyurl.com/y6u2z98o"
@LordPancreas,Hugh Guiney,Filmmaker • Founder @RedBlueVideo ﹠ @NoSpoonApparel • Web Dev→ @TurboHax • Comedian→ @HughgeLaughs • Polyglot→ @TheGaijinGringo • 日本語→ @SuizouKyou . Guiney GUY-knee
@kermsch,Kermin Zahirovic,Web Dev @sevDeskOffice • Founder of @abrocketio • JavaScript • React • NodeJS • Coding • Programmer / Engineer / Developer • Conversion Engineer
@khaidardotco,Khaidar Bikmayev,"into spaced repetitions, knowledge ontologies, speculative realism, markets, progress acceleration, & applied category theory."
@olegthinks,Oleg Andreyev,"Question Everything. Current obsessions: Probability, Health, Finance, and Technology. SDET and master of all things automation."
@schakalsynthetc,crepuscular dispatch,"generic, serious and unbranded. Все идет по плану."
@denizofbe,Deniz Bayraktaroglu,trying to understand first.
@HirenDhaduk_,Hiren Dhaduk,VP of Technology @Simform A versatile leader experienced in assisting successful companies extend their tech capabilities.
@LenaBoschUS,Lena,"Barcelonina living in California. CS & MBA SharpestmMinds mentee Data Science, AI, ML, public health and Politics. Foodie, tea drinker and yoga aficionado."
@putaliddonit,Rina,Data Analytics Student @GMU | Angry Optimist
@anshulheaven,Anshul Choudhary,"Researcher -- Dynamical systems, Networks, Scientific Computation, Machine Learning. // Postdoc at NC State University.  "
@KushalSeth14,Kushal,BLOCKCHAIN & .Net FULL STACK DEVELOPER | #knowmicrosoft | #100DaysOfBlockchain | #abc_vi | #100DaysOfAlgorithms | #100DaysOfStartUpStories | #STEM | #OpenSource
@antifa_saboteur,"𝐋ØĢ̵͖͚̞͓̦͉̘̳͖̍ⓘ𝓒
öƀlíẗéṛáẗőr ➐",-Disgraced Former Federalist Society Intern Euthanizer -Antifa™ VP & Branch Mgr. -recreational pharmacologist -will never learn to code -DO NOT follow -he/him
@francescaelisia,Francesca Elisia,Mindfulness & Transformational Coach at http://creativespirit.co Visual Artist at http://francescaelisia.com
@BulengelaN,The SureFire,|Tech Enthusiastic| |Autodidact | |Accountant | |Love Books | |Optimistic DNA |
@Nilza_Marie,Nilza Marie Santana-Castillo,"#SApro gone tech as Careers Initiatives & Curriculum Specialist @Lambdaschool / Prefers collecting moments, not things / Occasionally writes about experiences:"
@ChewyApril76,Mark Czubachowski,VP Strategic Partnerships http://Hu-manity.co #my31 Tweets are mine
@antonella727,Antonella Demarcus,@swisscom_com
@therealdanvega,Dan Vega,"Curriculum Developer @Tech_Elevator . A writer of words, creator of code & maker of things. Husband & Father. Passionate about helping others #Cleveland is"
@itsSMontiel,Salvador Montiel,"Student. I'm good with Java, Android and web development. Available for freelance work. #AndroidDev"
@oh_indiid,jay choi,borne from the fiery ashes that were your tax dollars
@ateologov,Andrey Teologov,Indie Maker & Software Engineer. Building @AppSnipper - a must-have tool for engineers
@Classickrackle,Classickrackle,"Hate cats, love dogs . Want freedom for myself and others. Love researching new tech. Real estate agent. Send new ideas!"
@cerokb,Alejandro Zuleta,Co-founder @yaskapp . Co-organizer @ColombiaAI . Software developer. Language lover. Math geek. We/Our.
@PrabhjotSL,Prabhjot Singh Lamba,AI Research Scientist|Entrepreneur|Game Designer
@emilianos,Emiliano Gonzalez,"Product Designer, UX/UI Specialist and Front-end Developer"
@RaluApostol,Raluca Apostol,"Co-Founder of @NestorUpHQ (YC S18) | Building products that help us #work better, happier and with purpose. #futureOfWork About me: http://bit.ly/2IcqWbG"
@thomasplynn,Thomas Lynn,They'll never care how much you know until they know how much you care
@louisda21634365,Louis D Keung,"Apprentice of information security, seeking employment within: entry level info/Cybersecurity , threat intel related positions, #INFOSEC #Structuredanalysis"
@edgarascom,Edgaras,"Digital Designer with a user, technology and business in mind. Service System Design student. Tweets design related content."
@garin_king,Garin king,U.S ARMY
@AdeeyoSulaiman,Adeeyo Sulaiman A.,"Software Engineer - @weareteamapt | ""Man of Peace"""
@alexsmathews,85ft Nancy Pelosi,"Dad, writer, musician, comedian--like Steve Martin but without all the credits, or the celebrity. Not so funny these days... #Resist #TheResistance #FBR"
@MinhoKo120,Minho Ko,Introvert Indie Maker of @Nomadwallet_app | http://getwabisabi.me with @nhuphan0404
@atrandafir,Alexandru Trandafir,"Developing software at @HeavyDots , making products @portfolee @AllMyPicz & https://selfcivic.github.io"
@mgv_dev,Maxence Guyonvarho,Software engineer @ AT Internet - #Fullstack #JS & #TS Next step : Dart & Flutter + = Traveler Taekwondo - dan
@YahfoufiM,Mohammad Yahfoufi,excited about the future. founder @SautiTech .
@phong_lh_duong,Phong Duong,"Indie dev, Dreamer, Backpacker and Gardener. I like turning ideas into real projects."
@HeyerSascha,Sascha Heyer,"Hi, I am Sascha, Machine Learning and Software Engineer from Berlin. Founder of https://ioannotator.com a AI annotation platform for text, running in BETA."
@RichardMurag,Muragijimana Richard,CEO @YeGoBox & Flipper
@maartengm,Maarten Mortier,"Making SaaS better. I love product dev. Previously CTO @ Showpad. You may find me talking tech, science, music, running, origami, ... Dad of Donna & Ray."
@sunuk,sunuk,Currently interested in the competition between USA and China in the technology domain
@Indooshan,Indoosan,Dreamer. IR Geek. Earth warrior. Travel Freak. Cricket Addict. Occasional Writer. Who stands up for what I believe it's correct for me! In one word: Weirdo!!
@lex_node,l̶̫͚̍̃͊́͐e̷̛̊́x̸-̴́̿n̷̛̜̣̥͛̋͛̓ǒ̶̾̿̒͂̈́̍d̸͛̔̀̽ë̵́,dark-side protocol droid focused on intersection of law & decentralized systems | @ZeroLawTech legal-core
@_howardweiss,Howard Weiss,Entrepreneur.
@pynade,pynade.com,I'm a #programming tips blog
@phagedirectory,Phage Directory,"We help unlock the untapped potential of phages for #phagetherapy & biocontrol by empowering people to access, use & build upon the world’s #phage knowledge."
@JohnJCollins,John Collins,Fintech | Energy | Cleantech | SV Startups 3x Inc500 | Venture | SoCap | Wine - All best with good friends & strong partners http://linkedin.com/in/collinsjohn
@xaviermalina,𝐗𝐚𝐯𝐢𝐞𝐫 𝐌𝐚𝐥𝐢𝐧𝐚,Former dataviz wizard at @Google & Lecturer at @UCBerkeleyISchool . Obama White House Alum. Humanist. Cares about privacy.
@NazePablo,Pablo Nazé,"He/him. 2nd year MBA student at UofToronto. Researching gender bias/fairness in AI. Product Manager with ML/Data bg. Ex @ibm , 99/Didi"
@evilroxxx,Rohan Bhobe,Born in Raised by Growing up in . E Pluribus Unum. System.Object Planet Earth . DM: Object reference not set to an instance of an object
@tauphipi,Twooty,"Until we have started working to a plan to sort it out, the breakdown of our ecosphere should be like shards of glass in the back of our minds. Stand up"
@ShteffMathers,Shteff Mathers,Manchester United fan & Front-End developer.Full Stack developer to be.
@macsithigh,Daithí Mac Síthigh,"Prof of Law & Innovation @QUBelfast ; media, tech, data, IP. Co-dir @futurescreensNI creative industries R&D. @EF_Fellows 2019. Advisory board @computersandlaw ."
@IrvingAJimenez,Irving A Jiménez,"Working with Tensor Network (R7d)Former Exec.Director PR Medical Center; Dean Adm Medical Sciences Campus and Deputy Director SJ Health Dept,"
@flago2009,Fabrizio Scarpa,Engineer，academic，traveller. Opinions here are only mine.
@jackrim1,Jack Riminton,"Adding a profile to my bio. Take a look at some of my shiny badges: @joinef , veteran, coder"
@DiegoAlcalaPR,Diego Alcala,"#LegalTechFounder, criminal law attorney, father, husband, #A2J, #PuertoRico, #crimlawdefense"
@majiwater,Soud Hyder,"Tech + Media, passion for last mile and pervasive tech. Cog in the wheel @trtworld"
@curtisformo,courtneyallen curtis,"Live event marketing, St. Louis County Charter Commissioner, Retired MO State Representative. AKA Mr. Ellsworth Johnson! Opinions are my own."
@studio_hungry,Hungry Bear Studio,Hello I'm Rich Haines. I'm a software developer who specializes in frontend and mobile development. roar@hungrybearstudio.com
@ynotinnovate,Tony,"Human || Freelance Web Developer, NE"
@guywuolletjr,Guy Wuollet,Cryptonetworks & coding @Stanford . Formerly @a16z & @stanfordmrowing . DMs are open
@RyanMaynard00,Ryan Maynard,Software Engineer & Process Management Consultant #python #ruby #datascience #businessintelligence #dataviz
@nirajshah,Niraj Shah,Founder http://Pandaflow.io Ex-Founder @ http://eventgrid.com (acquired by DoubleDutch)
@DanJMillier,Daniel,Developer={'c++/java/python/go'}. Lifelong Learner. Coffee Lover. He/Him/His.
@gracediane12,gracediane,FOR GOOD
@FotisKarioris,Fotis Karioris,Passionate about everything Digital and Social and also blogging and speaking about disabled people and their rights!
@shaynesm,Shayne Smith,Notes to self. Engineering @VanderbiltU . He/him.
@gravitythestore,Gravity the Store,Unique music and instruments #spacetimewarp
@LostVikingShip,VI,"Make Money, Not War"
@abrandoncdefg,Brandon Toups,just sitting here bossing my computer around
@_mariaivm,María Isabel Velásquez,Periodista en formación. Defensora de causas perdidas. Con el corazón entre el mar y el concreto. Letras y C. Social UCV. @laguiadecaracas @Tendencybook
@baccredited,Barely Accredited,"Web dev since 1995. Nano VC/angel. Investor Instacart, Flexport, Gingko Bioworks, GitLab, grove-dot-co, Checkr. Invested in over 150 companies since 2013"
@tuitt_p,Patricia Tuitt,"Legal Academic, http://patriciatuitt.com. European Union • Higher/Legal Education • Legal Theory • Refugee Law."
@MarkLeVota,Mark LeVota,"Husband. @DCBehavHAssoc executive. Catholic. Politics, econ, and design enthusiast. @ccadw and @DardenMBA alum. Tweets my own; RT ≠ Endorse"
@stefanmanku,Stefan Manku,"Founder hospitality tech co & PT Chief of Staff in tech. Prev: Captain AI (pivot @henchmanapp ) Physio Exited salon software and ecomm co's My own views, obvs"
@vijli,Vajda Albert,
@Dchou8415,David ( Jih Jiun ) Chou,
@nextlederman,Matt Lederman,Founder of @BenefitsNext . Student of FinTech / InsurTech disruption. Rock guitar enthusiast.
@KimMcIntosh123,K-Mac,Canuck turned Aussie. Co-founder at http://buddee.fitness. Worked @TwitterAU then @Telstra New Business. Now playing in the #startup space
@Mattylantz,Matt Lantz,"Husband, passionate Canadian business owner @GrafiteInc , software developer, neuroscience and fitness enthusiast, information sponge and generally energetic guy"
@ZeljkaPotoku,Željka Potoku,"Tendering @ STRABAG. Mama of 2, wife of 1. Creator of @INSPIRE__YOUNG & #Blog about #Fairytales #books & #art #design #Zagreb. #StoryTeller #InspireYoung"
@poetential,Andrew Poesaste,Investing @angularventures DMs open: Technology + Markets. Always be learning. Hopeful Knicks fan.
@averghese,Ajit Verghese,"future of digital, future of health | Building @humbleventures and @OgilvyConsult | Edu: @BabsonGraduate , @Georgetown , @StAlbans_STA"
@twanlass,Tyler Wanlass,"Head of Design @Buffer . I write about startups, product and design at http://tdub.co. Synesthete. ENTJ."
@bobspatta,Bob Spatta,"CPA | Michigan alumnus | Warriors, 49ers, Raiders, Red Wings, Tigers, SF Giants, FFC and SCFC fan. Gravel Racer"
@gopsy,Gopaal,"Authentic, Balancer, Curious, Developer, Explorer, Feeler, GoodYaara, Hopeful, Indian, Joker, Keeper, Lover, Man RTs aren't endorsements"
@heykbb,kirstan barnett,"Chase startup founders @ kbb capital. Also dogs, jazz, thin-crust pizza, fiction, naps. Hedge fund alum. Fndr @SheGivesBoston . She/her."
@juanscolari,juancito.js,Backend Developer | | |
@alfredo_pineiro,Alfredo Pineiro,"We tech people should chill out for a while, have a deep breath, stop innovating for the sake of tech, and start using our skills to prioritize people over tech"
@infostruction,Infostruction Blog,Blogging. Hacking. Cyber Security
@cafenatic,Adrian Mullan,"Dad of two, combat sports fanatic and chief trouble-maker at Norby. Building the future of interactive learning."
@DilipSRajan,Dilip Rajan,"Product @BuzzFeed by day, music by night. Previously: @pennmasala , @teamvyrtex GOLDEN EP OUT NOW ON STREAMING: http://bit.ly/golden-ep"
@CharlesJok3r,CharlesJok3r,Liberal. Atheist. Volcel. Minimalist. Socialist.
@josusanmartin,Josu San Martin,Partner at Sixtant. Bitcoin quasi-maximalist. I used to tweet about other things; now it's mostly crypto. Byzantine fault tolerant.
@JackalInHyde,Jackal,Into art and economics. Bayesian. She/Her
@geoliberal,Just Rents,Economist. Laissez-faire socialist and ''#georgist force of nature.'' #LVT
@Pizzanomicz,alex,"drumming, hip-hop, web dev, Detroit Lions. #yanggang"
@PatrickABlack,emc85,"CS, Python, Programmer, Unity, Builder."
@sworkman90,"Spencer Workman, MD",Integrated IR/DR Resident @VUMChealth . @WUSTL and @NUFeinbergMed alumnus. Tweets my own
@crews_richard,Scientific Truth =360°=,Universal Thesis: http://bit.ly/UniversalPatent Thèse Universelle: http://bit.ly/BrevetUniversel
@AbsenceSunlit,J.L.,photographer. experience deisgner. philosophy of the mind.
@manwittaplan,"Terry Threatt, MBA",Web Developer - #ReactJS | #NodeJs | #Python
@MdImran5722,Md.Imran Hossain,I'm front End Web Designer and WordPress Web Developer. my skills are #Html #css3 #JavaScript #jquery #Bootstrap #wordpress #landingpage #theme_customization
@g_sugahara,Gustavo Sugahara,"#SENILE The only living economist who does not see ageing as a problem. ""My only enemy is time"" and my main interests are technology, pop. ageing and city plan."
@oluwafemiakind1,#SirPhemmiey,"const {Piano, Guitar, Code} = me. Blockchain Engineer @hydro_labs . Backend guy @loopcv . Ex. @turingcom , @sendboxng , @play_spread"
@EhinzeEmeka,Ehinze Emeka(THE BRAVE ONES),Perfectionist | Sapiosexual | Coach | community builder @forloopafrica | Product Geek |Technical product manager @myretailar
@vgolfk,"O, George. MWS.",
@slmyers11,Steven with a 3,"Tweets on tech, strange & cute animals, video games & nerd culture"
@0x13a,Diego,technology evangelist
@rrfitz123,shuddup,
